,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł
,126196094409.72,132690457519.69,139654496424.08,144260001155.37,152808759527.18,158227339014.14,176214961241.37,189718824625.78,206933387769.69,229055895558.55,249404898783.41,274529269850.18,282009795145.25
POLSKA,26046678619.51,27044890020.17,27841846607.85,29061953682.25,31150822063.39,31979179100.77,35581252786.31,38015363779.49,41436909828.56,46209297876.92,51079151556.65,56473319801.73,55918207147.65
Makroregion południowy,10836991136.31,11206934382.69,11449544274.64,11812348492.69,12590410636.18,13140683842.01,15068865100.02,16279000320.3,17696379384.78,19885206592.73,21818095991.99,24650472214.23,24298705119.75
MAŁOPOLSKIE,10836991136.31,11206934382.69,11449544274.64,11812348492.69,12590410636.18,13140683842.01,15068865100.02,16279000320.3,17696379384.78,19885206592.73,21818095991.99,24650472214.23,24298705119.75
region małopolskie,1866521778.48,2056257997.39,2081935266.56,2130208683.19,2320429668.83,2420941823.85,2809606504.2,3067595022.36,3363221662.16,3919450599.79,4498440898.92,4998792038.44,4828633817.99
Podregion krakowski,3384810200.5,3336490733.37,3445907816.6,3735659621.24,4048337176.31,4135985727.8,4650430144.87,4960481293.86,5307143311.36,5912034361.01,6198932720.26,7190061157.65,7221663898.52
Podregion Kraków,1776731875.34,1880577542.13,1866421929.43,1844601367.1,1981942627.09,2106969092.67,2387714009.14,2570194057.67,2909272193.06,3156459999.76,3496244147.13,4072862459.59,3802030306.75
Podregion nowosądecki,1355620979.29,1459667102.5,1505054765.17,1534051132.08,1584673507.1,1650825088.7,1990876881.1,2177994489.92,2380051797.53,2648659683.51,2928565462.76,3161679918.59,3234230293.93
Podregion oświęcimski,1494643406.86,1508241067.07,1560916445.11,1534464116.29,1548514942.53,1666933667.85,1871972089.73,2019437754.56,2148881215.37,2466270517.98,2698217489.33,2944800546.05,2952403484.19
Podregion tarnowski,958662895.84,965699940.23,989308051.77,1033363572.79,1106512714.32,1159028441.14,1358265470.98,1483297701.93,1587809205.3,1782331430.68,1997695273.59,2282276093.91,2259743318.37
Podregion nowotarski,15209687483.2,15837955637.48,16392302333.21,17249605189.56,18560411427.21,18838495258.76,20512387686.29,21736363459.19,23740530443.78,26324091284.19,29261055564.66,31822847587.5,31619502027.9
ŚLĄSKIE,15209687483.2,15837955637.48,16392302333.21,17249605189.56,18560411427.21,18838495258.76,20512387686.29,21736363459.19,23740530443.78,26324091284.19,29261055564.66,31822847587.5,31619502027.9
region śląskie,2054060813.97,2150674718.36,2172251850.42,2212107238.75,2356551922.02,2426492926.99,2810200361.49,3070723876.14,3308663508.7,3771395252.97,4223132432.43,4658347344.49,4665911660.41
Podregion bielski,1348983795.62,1452717863.03,1478039663.11,1524986961.01,1630585885.74,1639150802.97,1829334369.67,1951567039.03,2156925463.55,2418933676.64,2675613411.77,2930897754.01,2927773301.18
Podregion bytomski,1575716622.34,1740791306.91,1747215595.67,1812535659.71,1926032468.55,2052152062.25,2200417433.65,2343533775.63,2557963554.89,2788412258,3024462360.27,3320899076.93,3511194220.73
Podregion częstochowski,1860468760.33,1747163608.67,1953150514.66,2162410891.59,2537837505.52,2568255938.02,2298682185.65,2432524729.41,2638693050.31,2911339483.34,3323270584.12,3521493512.53,3473888599.28
Podregion gliwicki,2753501012.63,2877817236.11,3039896374.85,3237745092.38,3414015885.94,3475926593.89,3843450725.87,4013472829.87,4353540029.87,4788180456.55,5265664855.87,5746584890.6,5569799996.66
Podregion katowicki,2019708758.98,2107865243.59,2161503050.26,2183614983.57,2254547497.43,2335912398.89,2683887918.8,2784055943.28,3116765886.05,3443281234.21,3835604197.26,4114775859.46,4041321558.45
Podregion rybnicki,2192907303.58,2329957107.34,2403367668.1,2628843195.1,2868832482.05,2774123812.77,3003578951.48,3171627181.58,3451299144.68,3797576855.01,4302488373.09,4742413842.19,4642245352.3
Podregion sosnowiecki,1404340415.75,1430968553.47,1436877616.14,1487361167.45,1572007779.96,1566480722.98,1842835739.68,1968858084.25,2156679805.73,2404972067.47,2610819349.85,2787435307.29,2787367338.89
Podregion tyski,18710099843.28,19825114561.32,21200473274.65,21838693684.62,22877025364.87,24331737400.87,27567869022.29,29892791412.37,32024265957.93,35631429567.43,39373567177.44,43074249277.16,44811678042.3
Makroregion północno-zachodni,3071201747.62,3141354836.52,3244700227.67,3440228865.9,3626671031.47,3755916617.62,4279639368.99,4753363585.74,5138684275.45,5742835407.36,6151935542.15,6715649606.88,7094855772.87
LUBUSKIE,3071201747.62,3141354836.52,3244700227.67,3440228865.9,3626671031.47,3755916617.62,4279639368.99,4753363585.74,5138684275.45,5742835407.36,6151935542.15,6715649606.88,7094855772.87
region lubuskie,1165636052.95,1211961814.15,1237377533.21,1318016680.85,1390757631.16,1463386013.56,1700524449.96,1832295412.72,2008498353.7,2220786825.49,2468986138.69,2654147271.34,2789910910.89
Podregion gorzowski,1905565694.67,1929393022.37,2007322694.46,2122212185.05,2235913400.31,2292530604.06,2579114919.03,2921068173.02,3130185921.75,3522048581.87,3682949403.46,4061502335.54,4304944861.98
Podregion zielonogórski,10347944195.83,10987452588.22,11713609242.23,11905159655.97,12454294418.22,13383037241.78,15288344090.07,16741398360.58,17942545134.16,20148803796.06,22103138502.25,24156045662,25214289794.16
WIELKOPOLSKIE,10347944195.83,10987452588.22,11713609242.23,11905159655.97,12454294418.22,13383037241.78,15288344090.07,16741398360.58,17942545134.16,20148803796.06,22103138502.25,24156045662,25214289794.16
region wielkopolskie,1783847415.55,1887600983.67,2027845233.47,2109241895.8,2156488171.52,2243971918.49,2708175291.72,2958218376.73,3163637458.62,3601027227.48,3984591978.72,4343050928.1,4570872606.84
Podregion kaliski,1861432442.71,2020308410.37,2119202185.71,2127412113.26,2243118522.43,2368087973.08,2737518910.94,2987135002.04,3216533699.64,3551335057.62,3931717328.76,4170081001.76,4509062163.06
Podregion koniński,1502607797.23,1650478008.21,1722479143.08,1764118376.46,1812778452.99,1858338341.45,2256910918.89,2515929808.46,2677416652.65,2989494405.18,3338300861.73,3545089927.49,3666079658.35
Podregion leszczyński,1111073401.2,1199761703.79,1238665604.02,1277528698.49,1335206171.61,1361017078.15,1621895668.09,1753737507.64,1887381250.15,2060822977.56,2241784331.21,2428453211.77,2609383337.25
Podregion pilski,1646495861.71,1757683511.46,1851495967.89,1962219301.15,2074769726.1,2229962609.47,2710932458.25,3016351633.1,3298816370.98,3784811794.64,4247849782.27,4680817535.19,4730681276.45
Podregion poznański,2442487277.43,2471619970.72,2753921108.06,2664639270.81,2831933373.57,3321659321.14,3252910842.18,3510026032.61,3698759702.12,4161312333.58,4358894219.56,4988553057.69,5128210752.21
Podregion Poznań,5290953899.83,5696307136.58,6242163804.75,6493305162.75,6796059915.18,7192783541.47,7999885563.23,8398029466.05,8943036548.32,9739790364.01,11118493133.04,12202554008.28,12502532475.27
ZACHODNIOPOMORSKIE,5290953899.83,5696307136.58,6242163804.75,6493305162.75,6796059915.18,7192783541.47,7999885563.23,8398029466.05,8943036548.32,9739790364.01,11118493133.04,12202554008.28,12502532475.27
region zachodniopomorskie,1177314346.68,1321250100.46,1348827105.36,1404622191.29,1506508248.58,1531711278.69,1695572678.13,1842042549.46,1979334176.3,2155346676.99,2324942279.6,2570530997.49,2752821802.19
Podregion koszaliński,1252329196.35,1300978420.11,1386922357.09,1445107532.62,1490398665.77,1508330778.29,1715308275.9,1848035148.34,1979438954.24,2115990729.03,2325906113.15,2541396031.11,2696227090.23
Podregion szczecinecko-pyrzycki,1285574356.21,1383316384.07,1660260058.28,1775266615.8,1871968645.74,2150629263.83,2251888077.3,2156805672.29,2288818260.9,2638846857.49,3063865463.89,3245442624.59,3265489264.33
Podregion Szczecin,1575736000.59,1690762231.94,1846154284.02,1868308823.04,1927184355.09,2002112220.66,2337116531.9,2551146095.96,2695445156.88,2829606100.5,3403779276.4,3845184355.09,3787994318.52
Podregion szczeciński,12769735864.62,13512031185.52,14101649687.88,14486135028.17,14982922253.75,15423348487.41,17152335377.36,18467639041.96,20338779175.37,22462384187.75,24377744190.7,27159856875.53,28328823438.04
Makroregion południowo-zachodni,9864222617.88,10542859160.17,11002020749.38,11345820435.37,11701583720.36,12048805916.69,13346985827.46,14348249537.94,15731381774.76,17283898587.4,18727656135.99,21175918510.86,22000141884.38
DOLNOŚLĄSKIE,9864222617.88,10542859160.17,11002020749.38,11345820435.37,11701583720.36,12048805916.69,13346985827.46,14348249537.94,15731381774.76,17283898587.4,18727656135.99,21175918510.86,22000141884.38
region dolnośląskie,1794187024.45,1934803166.96,1921154223.52,2043194783.93,2097268371.28,2072367339.23,2280877839.51,2473297641.03,2763794043.3,2898058965.04,3144400683.69,3552833707.01,3755965940.34
Podregion jeleniogorski,1524065060.56,1609793849.67,1817939544.61,1789041570.07,1882315405.89,1925005890.93,2108288786.33,2319728089.86,2462591182.39,2696587586.35,2914206697.1,3205627150.6,3373635051.81
Podregion legnicko-głogowski,1798640906.77,1886696922.92,1929611598.83,2107797713.67,2263302717.78,2343377676.23,2554540006.06,2739453900.19,3064020729.17,3361655614.05,3720022110.63,4046079899.09,4304971190.07
Podregion wałbrzyski,1578086332.86,1606793516.03,1741443907.94,1795185501.51,1921153217.76,2094058793.39,2364183477.88,2680787261.62,2984327428.07,3399120889.25,3773665936.84,4177731293.22,4418133563.2
Podregion wrocławski,3169243293.24,3504771704.59,3591871474.48,3610600866.19,3537544007.65,3613996216.91,4039095717.68,4134982645.24,4456648391.83,4928475532.71,5175360707.73,6193646460.94,6147436138.96
Podregion Wrocław,2905513246.74,2969172025.35,3099628938.5,3140314592.8,3281338533.39,3374542570.72,3805349549.9,4119389504.02,4607397400.61,5178485600.35,5650088054.71,5983938364.67,6328681553.66
OPOLSKIE,2905513246.74,2969172025.35,3099628938.5,3140314592.8,3281338533.39,3374542570.72,3805349549.9,4119389504.02,4607397400.61,5178485600.35,5650088054.71,5983938364.67,6328681553.66
region opolskie,999423010.55,991919489.24,1059757063.35,1067204436.27,1120187449.25,1141363943.98,1308491522.6,1409567518.65,1574071840.64,1745413927.74,1920653107.41,2089882266.6,2220694336.65
Podregion nyski,1906090236.19,1977252536.11,2039871875.15,2073110156.53,2161151084.14,2233178626.74,2496858027.3,2709821985.37,3033325559.97,3433071672.61,3729434947.3,3894056098.07,4107987217.01
Podregion opolski,18955057915.77,19993495836.24,21752708288.13,22229960848.92,23260484867.74,24344209332.51,26920737371.76,29082189995.32,31533066065,34822797346.95,37794919593.79,41109366950.8,42731558907.61
Makroregion północny,6448633879.38,6807057308,7319291146.43,7645706656.65,8064945895.63,8495937310.07,9299279275.07,10009329337.12,10765699391.19,11962099198.05,12821627845.01,14124246457.4,14963953769.85
KUJAWSKO-POMORSKIE,6448633879.38,6807057308,7319291146.43,7645706656.65,8064945895.63,8495937310.07,9299279275.07,10009329337.12,10765699391.19,11962099198.05,12821627845.01,14124246457.4,14963953769.85
region kujawsko-pomorskie,2521701275.99,2745636221.53,2960013218.72,3117405811.83,3301556240.02,3570529685.53,3739912387.62,4011483021.04,4408344145.19,4911777741.8,5212728788.48,5636745494.52,5712593574.59
Podregion bydgosko-toruński,1194803972.57,1247776859.29,1311338634.07,1408614773.5,1487937118.75,1528840634.19,1718872087.5,1829762306.21,1944627790.84,2176347687.06,2318799115.35,2642608868.04,2881277703
Podregion grudziądzki,1200916288.66,1203109281.95,1355328882.96,1425147693.78,1430228669.37,1442179613.97,1630173704.38,1733476861.1,1831057264.04,1997545197.93,2185880000.81,2445781028.47,2697293601.62
Podregion włocławski,992706111.91,1050642207.7,1100845943.95,1099678670.91,1187294906.47,1266834475.07,1423816174.94,1552730212.23,1645350694.22,1844754166.45,1980445898.99,2176443687.63,2332986602.52
Podregion inowrocławski,538506230.25,559892737.53,591764466.73,594859706.63,657928961.02,687552901.31,786504920.63,881876936.54,936319496.9,1031674404.81,1123774041.38,1222667378.74,1339802288.12
Podregion świecki,8024447295.81,8366932681.93,9470414043.73,9465888596.05,9840501420.44,10162573629.4,11385171375.72,12352841995.43,13553889952.39,14964886594.47,16416497323.49,17690760923.63,18175183689.59
POMORSKIE,8024447295.81,8366932681.93,9470414043.73,9465888596.05,9840501420.44,10162573629.4,11385171375.72,12352841995.43,13553889952.39,14964886594.47,16416497323.49,17690760923.63,18175183689.59
region pomorskie,1619395487.89,1778013791.65,1805755228.91,1923061582.25,2020869510.34,2178479484.53,2624465000.23,2942222536.83,3245591978.13,3593637678.17,3973514330.69,4337990232.61,4427108212.25
Podregion gdański,1119386527.67,1241437685.59,1289999513.06,1293174562,1440994363.78,1523824826.42,1631119743.75,1779980332.94,1886777441.17,2073819649.88,2307463839.89,2500646050.02,2664091278.69
Podregion słupski,1184555898.33,1231361116.2,1289681286.22,1309687874.94,1384155241.88,1395836066.14,1712460116.71,1907395762.8,2051530481.75,2205815643.61,2440315274.16,2635736819.26,2768529918.67
Podregion starogardzki,3403213445.92,3389473390.74,4346612630.99,4192469516.95,4200439331.48,4249752436.66,4455463298.79,4627482130.37,5212233874.06,5806363222.04,6183844806.86,6763347916.52,6755009545.39
Podregion trójmiejski,697895936,726646697.75,738365384.55,747495059.91,794042972.96,814680815.65,961663216.24,1095761232.49,1157756177.28,1285250400.77,1511359071.89,1453039905.22,1560444734.59
Podregion chojnicki,4481976740.58,4819505846.31,4963003097.97,5118365596.22,5355037551.67,5685698393.04,6236286720.97,6720018662.77,7213476721.42,7895811554.43,8556794425.29,9294359569.77,9592421448.17
WARMIŃSKO-MAZURSKIE,4481976740.58,4819505846.31,4963003097.97,5118365596.22,5355037551.67,5685698393.04,6236286720.97,6720018662.77,7213476721.42,7895811554.43,8556794425.29,9294359569.77,9592421448.17
region warmińsko-mazurskie,1706080752.8,1799618119.91,1813821239.47,1862446857.39,1904105087.06,1957543340.53,2274668960.68,2422796301.79,2563423560.6,2811090964.65,3015094665.55,3255600321.19,3437503335.05
Podregion elbląski,841939241.77,896350281.04,929071784.98,912441133.28,957529745.97,980341596.98,1144424087.16,1232071589.44,1366460529.35,1468914710.13,1603092068.4,1729865723.83,1800309070.65
Podregion ełcki,1933956746.01,2123537445.36,2220110073.52,2343477605.55,2493402718.64,2747813455.53,2817193673.13,3065150771.54,3283592631.47,3615805879.65,3938607691.34,4308893524.75,4354609042.47
Podregion olsztyński,11826789078.98,12230307860.71,12681636385.77,13560775442.07,13838371501.69,14577285286.51,16130622716.83,17077596407.48,18314767111.69,20600268042.35,22308779081.73,24376246256.6,26016120188.34
Makroregion centralny,7729434565.98,8096539686.37,8572677811.74,9326104023.7,9449552676.6,10090574127.5,11114314463.28,11688336780.15,12490201347.92,13952536227.08,15144270680.76,16818304622.7,17886880734.57
ŁÓDZKIE,7729434565.98,8096539686.37,8572677811.74,9326104023.7,9449552676.6,10090574127.5,11114314463.28,11688336780.15,12490201347.92,13952536227.08,15144270680.76,16818304622.7,17886880734.57
region łódzkie,946568143.01,1023245477.79,1024521025.82,1083833948.56,1189786953.05,1222783309.66,1424234470.49,1543169501.93,1729143826.2,1973230500.47,2147182909.86,2461504305.07,2577734318.45
Podregion łódzki,2547285376.13,2748093571.53,3030272013.69,3574739989.8,3396633989.89,3841403448.09,3908457010.44,3896588758.76,4076467290.05,4506252862.48,4925066038.07,5353969221.12,5412513532.91
Podregion Łódź,1948204717.54,2000330643.3,2091582542.5,2204492916.95,2253447264.28,2297801928.06,2665998893.47,2883046129.91,3010703494.89,3354088669.63,3562294211.85,3987242711.08,4316822236.79
Podregion piotrkowski,1246752980.26,1266316468.87,1320560181.28,1340687148.01,1426630051.05,1495352701.95,1697317544.2,1846946314.9,2019249902.14,2256402177.61,2381731756.26,2730286996.02,3066081128.13
Podregion sieradzki,1040623349.04,1058553524.88,1105742048.45,1122350020.38,1183054418.33,1233232739.74,1418306544.68,1518586074.65,1654636834.64,1862562016.89,2127995764.72,2285301389.41,2513729518.29
Podregion skierniewicki,4097354513,4133768174.34,4108958574.03,4234671418.37,4388818825.09,4486711159.01,5016308253.55,5389259627.33,5824565763.77,6647731815.27,7164508400.97,7557941633.9,8129239453.77
ŚWIĘTOKRZYSKIE,4097354513,4133768174.34,4108958574.03,4234671418.37,4388818825.09,4486711159.01,5016308253.55,5389259627.33,5824565763.77,6647731815.27,7164508400.97,7557941633.9,8129239453.77
region świętokrzyskie,2480139958.41,2658196482,2642383832.15,2715058586.78,2784495421.09,2853046080.74,3181710524.06,3456194975.18,3732168933.05,4280658324.5,4594745119.27,4783620742.64,5089371172.55
Podregion kielecki,1617214554.59,1475571692.34,1466574741.88,1519612831.59,1604323404,1633665078.27,1834597729.49,1933064652.15,2092396830.72,2367073490.77,2569763281.7,2774320891.26,3039868281.22
Podregion sandomiersko-jędrzejowski,16762994670.61,17533965459.8,18199283426.08,18681936860.99,19910731310.43,19638684030.37,22327252819.44,24534095155.27,27394637506.69,30188952795.09,32913742917,35454842115.46,36591809541.7
Makroregion wschodni,6290944950.67,6753609920.9,7142504342.56,7351265600.87,7671534651.35,7670700611.87,8672551566.49,9450261271.37,10443991672.06,11487747384.59,12607310441.27,13723770321.38,14084407361.85
LUBELSKIE,6290944950.67,6753609920.9,7142504342.56,7351265600.87,7671534651.35,7670700611.87,8672551566.49,9450261271.37,10443991672.06,11487747384.59,12607310441.27,13723770321.38,14084407361.85
region lubelskie,923862953.65,976915121.92,1038882467.4,1009093235.98,1070546535.96,1082809223.68,1213056772.14,1341188915.43,1498506219.54,1615821267.16,1778856959.38,1933040570.95,2050400966.55
Podregion bialski,1814810577.48,1965571524.06,2094502956.14,2056817722.33,2181698901.83,2187434597.11,2457994853.36,2635381800.95,2863163752.85,3234574807.8,3583253289,3941195854.64,4144352836.03
Podregion chełmsko-zamojski,2164307286.4,2381168763.65,2587721015.82,2837060469.22,2933861267.65,2827889495.17,3168900190.88,3516414540.11,3919492546.34,4273126393.12,4578090264.85,5044367133.65,4972388298.71
Podregion lubelski,1387964133.14,1429954511.27,1421397903.2,1448294173.34,1485427945.91,1572567295.91,1832599750.11,1957276014.88,2162829153.33,2364224916.51,2667109928.04,2805166762.14,2917265260.56
Podregion puławski,6628740367.94,6744350152.53,6834128242.98,7046880440.44,7421645861.75,7457704215.51,8533430676.79,9457953302.68,10618104784.22,11701731025.47,12873881025.41,13732948462.93,14086044957.53
PODKARPACKIE,6628740367.94,6744350152.53,6834128242.98,7046880440.44,7421645861.75,7457704215.51,8533430676.79,9457953302.68,10618104784.22,11701731025.47,12873881025.41,13732948462.93,14086044957.53
region podkarpackie,1470634030.88,1502178796.54,1547208588.36,1580539871.28,1697050132.72,1706109225.38,1917130692.14,2101219962.16,2287163825.19,2587545427.16,2869441153.09,3169484623.59,3138201106.16
Podregion krośnieński,1219517795.1,1409105332.15,1302060325.09,1343758014.2,1421489631.61,1396734084.35,1578620833,1748557956.16,1949162527.14,2062994210.67,2263393724.52,2428445296.56,2634720235.16
Podregion przemyski,1939876523.64,1970425699.32,2128069294.46,2233084557.15,2331038703.42,2403273998.21,2733934767.33,3048629469.76,3485654063.79,3799044481.51,4223610002.85,4464377211.39,4485220380.93
Podregion rzeszowski,1998712018.32,1862640324.52,1856790035.07,1889497997.81,1972067394,1951586907.57,2303744384.32,2559545914.6,2896124368.1,3252146906.13,3517436144.95,3670641331.39,3827903235.28
Podregion tarnobrzeski,3843309352,4036005386.37,4222650840.54,4283790819.68,4817550797.33,4510279202.99,5121270576.16,5625880581.22,6332541050.41,6999474385.03,7432551450.32,7998123331.15,8421357222.32
PODLASKIE,3843309352,4036005386.37,4222650840.54,4283790819.68,4817550797.33,4510279202.99,5121270576.16,5625880581.22,6332541050.41,6999474385.03,7432551450.32,7998123331.15,8421357222.32
region podlaskie,1792728262.61,1848856380.01,2040828435.1,1981005690.9,2390467478.95,2046724763.44,2340442343.95,2623900117.17,3041777190.56,3285109991.02,3424912347.57,3682328483.53,3763077149.06
Podregion białostocki,1175962376.07,1288477436.13,1240242612.21,1303095313.07,1408961522.51,1453034141.99,1609699579.7,1731397908.03,1882351928.36,2153245783.91,2353848461.65,2516409216.18,2712867120.34
Podregion łomżyński,874618713.32,898671570.23,941579793.23,999689815.71,1018121795.87,1010520297.56,1171128652.51,1270582556.02,1408411931.49,1561118610.1,1653790641.1,1799385631.44,1945412952.92
Podregion suwalski,21124738416.95,22550652595.93,23876898753.72,24400545608.35,26788402165.31,27932895375.7,30534891147.38,32649148833.89,35890962124.45,39140765742.06,41556994266.1,46881388572.9,47611597879.61
Makroregion województwo mazowieckie,21124738416.95,22550652595.93,23876898753.72,24400545608.35,26788402165.31,27932895375.7,30534891147.38,32649148833.89,35890962124.45,39140765742.06,41556994266.1,46881388572.9,47611597879.61
MAZOWIECKIE,13930407590.38,14960933488.34,15860490048.19,16377758172.11,18277681005.61,19092832968.14,20425320528.86,21700769438.55,23997198323.13,26141343607.18,27385023383.22,31499314392.53,31394272375.6
region warszawski stołeczny,10446948845.51,11268509501.65,11941031109.1,12222732655.34,13780750887.91,14313684262.38,14722229969.12,15476720226.24,17004591865.17,18109406599.27,18557696157.94,21594782590.74,21653151357.06
Podregion Warszawa,1564966300.95,1633305016.57,1731364468.74,1826210677.88,1978594219.49,2111563117.36,2587481188.33,2799306254.12,3176546781.59,3679662021.1,4083223133.74,4562296173.33,4421372353.02
Podregion warszawski wschodni,1918492443.92,2059118970.12,2188094470.35,2328814838.89,2518335898.21,2667585588.4,3115609371.41,3424742958.19,3816059676.37,4352274986.81,4744104091.54,5342235628.46,5319748665.52
Podregion warszawski zachodni,7194330826.57,7589719107.59,8016408705.53,8022787436.24,8510721159.7,8840062407.56,10109570618.52,10948379395.34,11893763801.32,12999422134.88,14171970882.88,15382074180.37,16217325504.01
region mazowiecki regionalny,969570551.2,994462035.76,1038258796.4,1077926317.04,1114534277.05,1165450121.43,1342930864.5,1464065376.3,1589906545.78,1769889460.08,1946644497.32,2134815508.31,2303845851.99
Podregion ciechanowski,1158916718.55,1250478652.75,1335907765.74,1290334780.04,1378490549.25,1447715602.72,1662115291.36,1802524738.14,1937702395.38,2127819318.7,2333391460.28,2486912138.34,2600172720.36
Podregion ostrołęcki,1923288086.11,2070059337.8,2067555206.59,2180950971.97,2240159329.04,2337255723.82,2653083050.37,2817185030.06,3017526003.42,3318734330.36,3617078545.45,3886066601.77,4025500623.27
Podregion radomski,1240468366.3,1234116733.33,1435325934.21,1324909944.52,1450414765.51,1462819547.05,1661849122.24,1846700099.31,2021044980.68,2124807656.74,2260786173.24,2427552454.4,2569934621.88
Podregion płocki,1249641638.6,1300316173.87,1381535882.43,1371364901.78,1479572972.38,1520071085.68,1751752164.42,1903532009.7,2067595799.15,2280611401.29,2483922332.71,2741790293.11,2920530941.74
Podregion siedlecki,652445465.81,740286174.08,757825120.16,777300520.89,847549266.47,906750326.86,1037840125.63,1114372141.83,1259988076.91,1377559967.71,1530147873.88,1704937184.44,1797340744.77
Podregion żyrardowski,,,,,,,,,,,,,
